,Listing,Price,Address,Floor_space_m²
0,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
1,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
2,4 Bed House in Oranjezicht,21 500 000,No Address,428
3,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
4,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
5,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
6,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
7,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
8,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
9,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
10,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
11,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
12,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
13,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
14,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
15,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
16,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
17,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
18,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
19,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
20,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
21,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
22,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
23,3 Bed Apartment in Oranjezicht,3 750 000,"Address: 6 marywin, 18 sir george grey st",167
24,2 Bed Apartment in Oranjezicht,3 495 000,"Address: 105 the cedar, 6 firdale avenue",63
25,2 Bed Penthouse in Oranjezicht,6 995 000,"Address: 303 the aster, 8 firdale avenue",123
26,4 Bed House in Oranjezicht,21 500 000,No Address,428
27,3 Bed House in Oranjezicht,3 850 000,Address: 6 flower street,95
28,1 Bed Apartment in Oranjezicht,1 900 000,No Address,50
29,1 Bed Apartment in Oranjezicht,2 250 000,No Address,66
30,1 Bed Apartment in Oranjezicht,1 200 000,Address: 513 hiddingh avenue,54
31,1 Bed Apartment in Oranjezicht,1 295 000,"Address: 205 the delaware, 10a annadale",57
32,Studio Apartment in Oranjezicht,1 690 000,"Address: gardens centre, 38 mill street",40
33,1 Bed Apartment in Oranjezicht,1 750 000,Address: 206 upper buitenkant,43
34,1 Bed Apartment in Oranjezicht,1 795 000,"Address: 75 hiddingh village, 411 hiddingh",53
35,1 Bed Apartment in Oranjezicht,1 895 000,Address: 164 upper buitenkant,52
36,1 Bed Apartment in Oranjezicht,1 895 000,"Address: 55 sutton place, 12 vriende street",45
37,1 Bed Apartment in Oranjezicht,1 995 000,"Address: 9 kassies court, 2 forest hill",61
38,1 Bed Apartment in Oranjezicht,2 195 000,"Address: 13 peacehaven, 8 culver st",71
39,2 Bed Apartment in Oranjezicht,2 250 000,"Address: 8 alison flats, 3 vriende street",100
40,2 Bed Apartment in Oranjezicht,2 395 000,"Address: 301 rus-in-urbe, 19 breda street",81
41,1 Bed Apartment in Oranjezicht,2 495 000,"Address: 106 the aster, 8 firdale avenue",40
42,2 Bed Apartment in Oranjezicht,2 750 000,"Address: 24 killarney mansions, 210 upper buitenkant street",79
43,2 Bed Apartment in Oranjezicht,2 800 000,"Address: 6 vriendezicht, 10 vriende street",88
44,1 Bed Apartment in Oranjezicht,Sold,"Address: 108 the aster, 8 firdale",124
45,2 Bed Apartment in Oranjezicht,2 950 000,"Address: 3 culvert gardens, 202 buitenkant",76
46,2 Bed Apartment in Oranjezicht,3 395 000,"Address: 26 leeuwendal, 3 derwent road",75
