,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
0,1 Bed Apartment in Oranjezicht,2495000," 106 the aster, 8 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/106-the-aster/8-firdale-avenue/T2632605,40,1, Oranjezicht
1,2 Bed Apartment in Oranjezicht,3495000," 105 the cedar, 6 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/105-the-cedar/6-firdale-avenue/T3170120,63,2, Oranjezicht
2,2 Bed Penthouse in Oranjezicht,6995000," 303 the aster, 8 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/303-the-aster/8-firdale-avenue/T3347049,123,2, Oranjezicht
3,4 Bed House in Oranjezicht,21500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3446798,428,4, Oranjezicht
4,3 Bed House in Oranjezicht,3850000, 6 flower street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-flower-street/T3406179,95,3, Oranjezicht
5,1 Bed Apartment in Oranjezicht,1900000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3098208,50,1, Oranjezicht
6,1 Bed Apartment in Oranjezicht,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3388794,66,1, Oranjezicht
7,1 Bed Apartment in Oranjezicht,1200000, 513 hiddingh avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/513-hiddingh-avenue/T3456050,54,1, Oranjezicht
8,1 Bed Apartment in Oranjezicht,1295000," 205 the delaware, 10a annadale",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/205-the-delaware/10a-annadale/T3368451,57,1, Oranjezicht
9,Studio Apartment in Oranjezicht,1690000," gardens centre, 38 mill street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/gardens-centre/38-mill-street/T3393320,40,Studio, Oranjezicht
10,1 Bed Apartment in Oranjezicht,1750000, 206 upper buitenkant,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/206-upper-buitenkant/T3439039,43,1, Oranjezicht
11,1 Bed Apartment in Oranjezicht,1795000," 75 hiddingh village, 411 hiddingh",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/75-hiddingh-village/411-hiddingh/T3342677,53,1, Oranjezicht
12,1 Bed Apartment in Oranjezicht,1895000, 164 upper buitenkant,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/164-upper-buitenkant/T3471764,52,1, Oranjezicht
13,1 Bed Apartment in Oranjezicht,1895000," 55 sutton place, 12 vriende street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/55-sutton-place/12-vriende-street/T3437257,45,1, Oranjezicht
14,1 Bed Apartment in Oranjezicht,1995000," 9 kassies court, 2 forest hill",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/9-kassies-court/2-forest-hill/T3410973,61,1, Oranjezicht
15,1 Bed Apartment in Oranjezicht,2195000," 13 peacehaven, 8 culver st",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/13-peacehaven/8-culver-st/T3471716,71,1, Oranjezicht
16,2 Bed Apartment in Oranjezicht,2250000," 8 alison flats, 3 vriende street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/8-alison-flats/3-vriende-street/T3201201,100,2, Oranjezicht
17,2 Bed Apartment in Oranjezicht,2395000," 301 rus-in-urbe, 19 breda street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/301-rus-in-urbe/19-breda-street/T3105703,81,2, Oranjezicht
18,2 Bed Apartment in Oranjezicht,2750000," 24 killarney mansions, 210 upper buitenkant street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/24-killarney-mansions/210-upper-buitenkant-street/T3387021,79,2, Oranjezicht
19,2 Bed Apartment in Oranjezicht,2800000," 6 vriendezicht, 10 vriende street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-vriendezicht/10-vriende-street/T3340516,88,2, Oranjezicht
21,2 Bed Apartment in Oranjezicht,2950000," 3 culvert gardens, 202 buitenkant",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/3-culvert-gardens/202-buitenkant/T3343343,76,2, Oranjezicht
22,2 Bed Apartment in Oranjezicht,3395000," 26 leeuwendal, 3 derwent road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/26-leeuwendal/3-derwent-road/T2673663,75,2, Oranjezicht
23,3 Bed Apartment in Oranjezicht,3750000," 6 marywin, 18 sir george grey st",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-marywin/18-sir-george-grey-st/T3263944,167,3, Oranjezicht
24,3 Bed Apartment in Oranjezicht,3750000," 6 marywin, 18 sir george grey street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/6-marywin/18-sir-george-grey-street/T3242336,167,3, Oranjezicht
25,2 Bed House in Oranjezicht,4195000, 1 berkley street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/1-berkley-street/T3379018,130,2, Oranjezicht
