,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
0,2 Bed Townhouse in Heathfield,1395000," caversham villas, 5 hawthorne road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/caversham-villas/5-hawthorne-road/T3402052,91,2, Heathfield
1,2 Bed Apartment in Wynberg Upper,1495000," 302 1 malton, 1 malton road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/302-1-malton/1-malton-road/T3360249,50,2, Wynberg Upper
2,3 Bed House in Plumstead,2200000, 32 carnarvan road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/32-carnarvan-road/T3331148,100,3, Plumstead
3,1 Bed Apartment in Newlands,2225000," 613 newlands peak, 6 thicket",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/newlands/613-newlands-peak/6-thicket/T3422104,49,1, Newlands
4,3 Bed House in Kenilworth,2495000, 3a jesmond road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/3a-jesmond-road/T3436945,132,3, Kenilworth
5,2 Bed Apartment in Tokai,1975000," 102 royale on main, 380 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/tokai/102-royale-on-main/380-main-road/T2390554,79,2, Tokai
6,3 Bed House in Plumstead,2300000, 127 stella road plumstead,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/127-stella-road-plumstead/T3462836,181,3, Plumstead
7,1 Bed Apartment in Plumstead,1299000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3466440,42,1, Plumstead
8,2 Bed Apartment in Claremont Upper,2345000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3453411,72,2, Claremont Upper
9,2 Bed Apartment in Claremont,2390000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3246696,74,2, Claremont
10,4 Bed House in Fairways,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3416174,342,4, Fairways
11,4 Bed House in Plumstead,2799000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3130728,498,4, Plumstead
12,1 Bed Apartment in Rosebank,1295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/T3147882,48,1, Rosebank
13,Studio Apartment in Mowbray,895000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3416211,21,Studio, Mowbray
14,2 Bed Apartment in Rosebank,1295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/T2684110,70,2, Rosebank
15,1 Bed Apartment in Newlands,2125000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/newlands/T3404577,46,1, Newlands
16,1 Bed Apartment in Rondebosch,1150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3308315,46,1, Rondebosch
17,2 Bed Apartment in Tokai,2150000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/tokai/T3211159,79,2, Tokai
18,3 Bed House in Harfield Village,2795000, 11a wessels road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/11a-wessels-road/T3353744,200,3, Harfield Village
19,2 Bed Apartment in Newlands,1799000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/newlands/T3472991,67,2, Newlands
20,2 Bed Apartment in Claremont Upper,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3451573,93,2, Claremont Upper
22,2 Bed House in Harfield Village,2600000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3316252,90,2, Harfield Village
23,1 Bed Apartment in Wynberg,450000, 537 grand central,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/537-grand-central/T2340880,36,1, Wynberg
24,2 Bed Apartment in Wynberg,577500," 224 grand central, 243 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/224-grand-central/243-main-road/T3446498,54,2, Wynberg
25,2 Bed Flat in Wynberg,595000," 601 grand central, 243 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/601-grand-central/243-main-road/T3253964,64,2, Wynberg
27,1 Bed Apartment in Wynberg,699000," 27 florahof, 27 broad",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/27-florahof/27-broad/T3426299,50,1, Wynberg
28,1 Bed Apartment in Plumstead,700000," 7 plumberry square, 7 hemyock",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/7-plumberry-square/7-hemyock/T3418054,31,1, Plumstead
29,2 Bed Apartment in Thornton,720000," a5 first on forest, 1 forest drive extention drive",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/a5-first-on-forest/1-forest-drive-extention-drive/T3407264,55,2, Thornton
30,2 Bed Apartment in Thornton,730000," 1 first on forest, 1 forest drive extension",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/1-first-on-forest/1-forest-drive-extension/T3399059,59,2, Thornton
32,2 Bed House in Westlake,750000, 54 restio,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/tokai/54-restio/T3302042,130,2, Westlake
33,2 Bed Apartment in Southfield,765000," 1 lords manor, 262 prince henry crescent",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/southfield/1-lords-manor/262-prince-henry-crescent/T3390691,43,2, Southfield
34,Studio Apartment in Kenilworth Upper,780000," 308 norfolk place, 94 harfield road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/308-norfolk-place/94-harfield-road/T3351563,36,Studio, Kenilworth Upper
36,1 Bed Apartment in Wynberg,795000," 11 broad road medicentre, 32 perth",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/11-broad-road-medicentre/32-perth/T3334808,62,1, Wynberg
37,1 Bed Apartment in Wynberg,795000," 10 broad road medicentre, 32 perth",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/10-broad-road-medicentre/32-perth/T3334806,65,1, Wynberg
38,1 Bed Apartment in Mowbray,799000, 8 rose street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/8-rose-street/T3409370,34,1, Mowbray
39,Studio Apartment in Mowbray,799000," 28 savoy gardens, 28 main",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/28-savoy-gardens/28-main/T3281362,34,Studio, Mowbray
40,2 Bed Flat in Thornton,800000, 5 forest drive,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/5-forest-drive/T3384136,53,2, Thornton
41,Studio Apartment in Pinelands,802208," 303 the manor, 7 howard drive",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/pinelands/303-the-manor/7-howard-drive/T3463002,26,Studio, Pinelands
42,1 Bed Apartment in Mowbray,875000," 13 durban court, 48 durban road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/13-durban-court/48-durban-road/T3333217,43,1, Mowbray
43,1 Bed Apartment in Plumstead,875000," 16 rondale, 16 knutsford road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/16-rondale/16-knutsford-road/T3302227,45,1, Plumstead
44,Studio Apartment in Mowbray,895000," 56 heather view, 1 struben  road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/56-heather-view/1-struben-road/T3418074,21,Studio, Mowbray
45,Studio Apartment in Mowbray,895000, 1 strubens road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/1-strubens-road/T3412846,21,Studio, Mowbray
46,1 Bed Apartment in Diep River,895000," 105 sandhurst, 13 annadale road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/105-sandhurst/13-annadale-road/T3393899,52,1, Diep River
47,Studio apartment in Claremont Upper,895000, 5 bath road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/5-bath-road/T3373173,36,Studio, Claremont Upper
48,1 Bed Apartment in Diep River,915000," 22 avondale gardens, 22 nicholette street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/22-avondale-gardens/22-nicholette-street/T3396434,41,1, Diep River
49,2 Bed Apartment in Wynberg,925000, 34 broad road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/34-broad-road/T3421585,56,2, Wynberg
50,2 Bed Apartment in Thornton,945000," 36 poplar gardens, 36 poplar avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/36-poplar-gardens/36-poplar-avenue/T3377223,53,2, Thornton
51,1 Bed Flat in Kenilworth,948000," 39 greyville, 94 punters way",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/39-greyville/94-punters-way/Z43511,41,1, Kenilworth
52,2 Bed Apartment in Wynberg,950000, 7 morom road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/7-morom-road/T3479755,75,2, Wynberg
53,2 Bed Apartment in Wynberg,950000, 25 morom road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/25-morom-road/T3451672,75,2, Wynberg
54,2 Bed Apartment in Wynberg,950000," 318 broad road medicentre, 42 broad",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/318-broad-road-medicentre/42-broad/T3353028,63,2, Wynberg
55,Studio Apartment in Claremont,950000, 225 main,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/225-main/T2949245,36,Studio, Claremont
56,2 Bed Apartment in Wynberg,975000," g07 broad road medicentre, 34 broad road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/g07-broad-road-medicentre/34-broad-road/T3270541,70,2, Wynberg
57,2 Bed Flat in Wynberg,980000, 42 broad road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/42-broad-road/T3440888,76,2, Wynberg
58,Studio Apartment in Pinelands,987284," 406 the manor, 7 howard drive",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/pinelands/406-the-manor/7-howard-drive/T3463005,32,Studio, Pinelands
59,2 Bed Apartment in Diep River,990000," 47 avondale gardens, 3 nicholette street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/47-avondale-gardens/3-nicholette-street/T3453264,51,2, Diep River
60,2 Bed Apartment in Diep River,990000," 47 avondale gardens, nicholette street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/47-avondale-gardens/nicholette-street/T3445274,51,2, Diep River
63,2 Bed Apartment in Wynberg,1049000, 42 broad road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/42-broad-road/T3278229,73,2, Wynberg
64,2 Bed Townhouse in Southfield,1050000," 9 santander, 2 louis trichardt street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/southfield/9-santander/2-louis-trichardt-street/T3460889,57,2, Southfield
65,2 Bed Apartment in Diep River,1050000," 48 avondale gardens, 3 nicholette street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/48-avondale-gardens/3-nicholette-street/T3453243,61,2, Diep River
66,2 Bed Apartment in Diep River,1050000," 48 avondale gardens, 22 nicholette street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/48-avondale-gardens/22-nicholette-street/T3439731,61,2, Diep River
67,1 Bed Apartment in Diep River,1050000," 210 evergreen diep river, 21 annandale road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/210-evergreen-diep-river/21-annandale-road/T3366064,44,1, Diep River
68,2 Bed Apartment in Wynberg,1050000," 6 larryville, 7 morom road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/6-larryville/7-morom-road/T3207013,87,2, Wynberg
69,1 Bed Apartment in Kenilworth Upper,1070000," 2 kenilworth executive apartments, 306 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/2-kenilworth-executive-apartments/306-main-road/T3255459,57,1, Kenilworth Upper
70,2 Bed Apartment in Lansdowne,1070000, 14 windsor road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/14-windsor-road/T3192700,70,2, Lansdowne
72,2 Bed Apartment in Heathfield,1095000, 2 galway mansions,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/2-galway-mansions/T3476749,83,2, Heathfield
73,2 Bed Apartment in Heathfield,1095000," 2 galway mansions, 56 galway road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/2-galway-mansions/56-galway-road/T3474188,83,2, Heathfield
74,1 Bed Apartment in Wynberg,1095000, 121 ottery road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/121-ottery-road/T3454052,62,1, Wynberg
76,1 Bed Apartment in Mowbray,1150000," 8 ardath, 21 hornsey road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/8-ardath/21-hornsey-road/T3461349,71,1, Mowbray
77,1 Bed Apartment in Claremont,1150000," 6 milner gardens, 233 imam haron",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/6-milner-gardens/233-imam-haron/T3435513,45,1, Claremont
78,2 Bed Apartment in Kenilworth,1150000," 9 greyville, 94 punters way",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/9-greyville/94-punters-way/Z43563,54,2, Kenilworth
79,1 Bed Apartment in Claremont,1150000," 174 milner gardens, 233 imam haron",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/174-milner-gardens/233-imam-haron/T3191081,45,1, Claremont
80,3 Bed Townhouse in Wynberg,1170000," 15 lazaysa mews, 15 byrnes",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/15-lazaysa-mews/15-byrnes/T3443844,109,3, Wynberg
81,1 Bed Apartment in Heathfield,1170000, 1 elfin avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/1-elfin-avenue/T3390852,62,1, Heathfield
83,3 Bed Apartment in Wynberg,1180000,"  lazaysa mews, 15b byrnes road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/00-lazaysa-mews/15b-byrnes-road/T3427084,109,3, Wynberg
84,1 Bed Apartment in Claremont,1190000," 42 milner gardens, 174 milner road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/42-milner-gardens/174-milner-road/T3427306,46,1, Claremont
85,1 Bed Apartment in Claremont,1190000, 233 imam haron,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/233-imam-haron/T3425880,46,1, Claremont
86,2 Bed Apartment in Diep River,1195000," 301 river park, mile end road 49",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/301-river-park/mile-end-road-49/T3441529,74,2, Diep River
88,Studio Apartment in Claremont,1195000," 916b the claremont, 53 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/916b-the-claremont/53-main-road/T3412856,42,Studio, Claremont
90,2 Bed Apartment in Mowbray,1195000," 1 arena court, 2 selby road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/1-arena-court/2-selby-road/T3046677,77,2, Mowbray
92,3 Bed House in Wynberg,," 10 inshi ra, 10 bute road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/10-inshi-ra/10-bute-road/T3469642,120,3, Wynberg
93,2 Bed Apartment in Kenilworth,1200000," 3 stratheden, 3 lancaster",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/3-stratheden/3-lancaster/T3452287,66,2, Kenilworth
94,1 Bed Apartment in Claremont Upper,1200000," 332 the claremont, 53 main",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/332-the-claremont/53-main/T3396893,39,1, Claremont Upper
95,2 Bed Apartment in Claremont,1200000," 41 lynwood gardens, 21 pinetree avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/41-lynwood-gardens/21-pinetree-avenue/T3394317,83,2, Claremont
96,1 Bed Apartment in Rosebank,1200000, 27 guildford,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/27-guildford/T3385467,48,1, Rosebank
97,2 Bed Apartment in Diep River,1200000," 5 potters place, 4 mile end north road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/5-potters-place/4-mile-end-north-road/T3306671,60,2, Diep River
98,2 Bed Apartment in Pinelands,1200000," 12 ss howard hamlet 1, 12 york street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/pinelands/12-ss-howard-hamlet-1/12-york-street/T3253050,49,2, Pinelands
99,1 Bed House in Thornton,1225000," longboat close, 45 odin drive",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/thornton/longboat-close/45-odin-drive/T3443809,115,1, Thornton
100,2 Bed Apartment in Rosebank,1245000," 8 ss aurora court, 16 liesbeek road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/8-ss-aurora-court/16-liesbeek-road/T3283385,74,2, Rosebank
101,1 Bed Apartment in Harfield Village,1250000," 402 ascot towers, 38 bell road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/402-ascot-towers/38-bell-road/T3459186,49,1, Harfield Village
102,2 Bed Apartment in Wynberg Upper,1250000," 5 dolsam park, 102 mountain view",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/5-dolsam-park/102-mountain-view/T3365886,76,2, Wynberg Upper
103,2 Bed Apartment in Plumstead,1250000," 15 haroma court, 248 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/15-haroma-court/248-main-road/T3340659,68,2, Plumstead
104,Studio Apartment in Rondebosch,1250000, 14 chester,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/14-chester/T3302113,34,Studio, Rondebosch
105,2 Bed Apartment in Wynberg,1250000, 26 broad road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/26-broad-road/T3101477,93,2, Wynberg
106,1 Bed Apartment in Plumstead,1250000," urban spin, 1 alnwick rd",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/urban-spin/1-alnwick-rd/T3082126,51,1, Plumstead
107,Studio Apartment in Claremont,1250000," 616 the claremont, 53 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/616-the-claremont/53-main-road/T2934661,42,Studio, Claremont
108,1 Bed Apartment in Kenilworth,1275000, 30 bell road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/30-bell-road/T3352752,51,1, Kenilworth
109,1 Bed Apartment in Claremont,1275000," 916 the claremont, 53 main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/916-the-claremont/53-main-road/T2898380,42,1, Claremont
110,1 Bed Apartment in Rosebank,1290000," 10 gavenwood, 55 alma road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/10-gavenwood/55-alma-road/T3407201,49,1, Rosebank
111,2 Bed Apartment in Plumstead,1295000," 15 hendrene court, 29 burnham road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/15-hendrene-court/29-burnham-road/T3400139,85,2, Plumstead
112,2 Bed Apartment in Plumstead,1295000, 503 pine dale,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/503-pine-dale/T3291521,81,2, Plumstead
114,1 Bed Apartment in Mowbray,1295000, 29 klipfontein road,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/29-klipfontein-road/T3192328,62,1, Mowbray
115,2 Bed Apartment in Rosebank,1295000, 2a bridge,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/2a-bridge/T3078960,70,2, Rosebank
116,2 Bed Apartment in Plumstead,1299999,"  barnstaple place, 9 barnstaple road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/0-barnstaple-place/9-barnstaple-road/Z43582,80,2, Plumstead
117,1 Bed Apartment in Rondebosch,1300000," 17 berkeley square, main road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/17-berkeley-square-main-road/T3405153,49,1, Rondebosch
